fold,difficulty,budget_pct,algorithm,seed,AUC_PR
1,medium,0.05,sHST-River,123,0.523809750569053
1,medium,0.05,sHST-River,456,0.5238095238095238
1,medium,0.05,sHST-River,789,0.5238095238095238
1,medium,0.05,sHST-River,1024,0.5236108838872425
1,medium,0.1,sHST-River,42,0.5238095238095238
1,medium,0.1,sHST-River,123,0.523809750569053
1,medium,0.1,sHST-River,456,0.5238095238095238
1,medium,0.1,sHST-River,789,0.5238095238095238
1,medium,0.1,sHST-River,1024,0.5236108838872425
1,medium,0.25,sHST-River,42,0.5238095238095238
1,medium,0.25,sHST-River,123,0.523809750569053
1,medium,0.25,sHST-River,456,0.5238095238095238
1,medium,0.25,sHST-River,789,0.5238095238095238
1,medium,0.25,sHST-River,1024,0.5236108838872425
2,easy,0.01,sHST-River,42,0.5238095238095238
2,easy,0.01,sHST-River,123,0.5238099773329016
2,easy,0.01,sHST-River,456,0.5238095238095238
2,easy,0.01,sHST-River,789,0.5238095238095238
2,easy,0.01,sHST-River,1024,0.523810430873557
2,easy,0.05,sHST-River,42,0.5238095238095238
2,easy,0.05,sHST-River,123,0.5238099773329016
2,easy,0.05,sHST-River,456,0.5238095238095238
2,easy,0.05,sHST-River,789,0.5238095238095238
2,easy,0.05,sHST-River,1024,0.523810430873557
2,easy,0.1,sHST-River,42,0.5238095238095238
2,easy,0.1,sHST-River,123,0.5238099773329016
2,easy,0.1,sHST-River,456,0.5238095238095238
2,easy,0.1,sHST-River,789,0.5238095238095238
2,easy,0.1,sHST-River,1024,0.523810430873557
2,easy,0.25,sHST-River,42,0.5238095238095238
2,easy,0.25,sHST-River,123,0.5238099773329016
2,easy,0.25,sHST-River,456,0.5238095238095238
2,easy,0.25,sHST-River,789,0.5238095238095238
2,easy,0.25,sHST-River,1024,0.523810430873557
2,hard,0.01,sHST-River,42,0.5238095238095238
2,hard,0.01,sHST-River,123,0.5230117879707364
2,hard,0.01,sHST-River,456,0.5238095238095238
2,hard,0.01,sHST-River,789,0.5238095238095238
2,hard,0.01,sHST-River,1024,0.5204180850938344
2,hard,0.05,sHST-River,42,0.5238095238095238
2,hard,0.05,sHST-River,123,0.5230117879707364
2,hard,0.05,sHST-River,456,0.5238095238095238
2,hard,0.05,sHST-River,789,0.5238095238095238
2,hard,0.05,sHST-River,1024,0.5204180850938344
2,hard,0.1,sHST-River,42,0.5238095238095238
2,hard,0.1,sHST-River,123,0.5230117879707364
2,hard,0.1,sHST-River,456,0.5238095238095238
2,hard,0.1,sHST-River,789,0.5238095238095238
2,hard,0.1,sHST-River,1024,0.5204180850938344
2,hard,0.25,sHST-River,42,0.5238095238095238
2,hard,0.25,sHST-River,123,0.5230117879707364
2,hard,0.25,sHST-River,456,0.5238095238095238
2,hard,0.25,sHST-River,789,0.5238095238095238
2,hard,0.25,sHST-River,1024,0.5204180850938344
2,medium,0.01,sHST-River,42,0.5238095238095238
2,medium,0.01,sHST-River,123,0.5238099773329016
2,medium,0.01,sHST-River,456,0.5238095238095238
2,medium,0.01,sHST-River,789,0.5238095238095238
2,medium,0.01,sHST-River,1024,0.5230122408547371
2,medium,0.05,sHST-River,42,0.5238095238095238
2,medium,0.05,sHST-River,123,0.5238099773329016
2,medium,0.05,sHST-River,456,0.5238095238095238
2,medium,0.05,sHST-River,789,0.5238095238095238
2,medium,0.05,sHST-River,1024,0.5230122408547371
2,medium,0.1,sHST-River,42,0.5238095238095238
2,medium,0.1,sHST-River,123,0.5238099773329016
2,medium,0.1,sHST-River,456,0.5238095238095238
2,medium,0.1,sHST-River,789,0.5238095238095238
2,medium,0.1,sHST-River,1024,0.5230122408547371
2,medium,0.25,sHST-River,42,0.5238095238095238
2,medium,0.25,sHST-River,123,0.5238099773329016
2,medium,0.25,sHST-River,456,0.5238095238095238
2,medium,0.25,sHST-River,789,0.5238095238095238
2,medium,0.25,sHST-River,1024,0.5230122408547371
3,easy,0.01,sHST-River,42,0.5238095238095238
3,easy,0.01,sHST-River,123,0.5238102041010696
3,easy,0.01,sHST-River,456,0.5238095238095238
3,easy,0.01,sHST-River,789,0.5238095238095238
3,easy,0.01,sHST-River,1024,0.5238108844314914
3,easy,0.05,sHST-River,42,0.5238095238095238
3,easy,0.05,sHST-River,123,0.5238102041010696
3,easy,0.05,sHST-River,456,0.5238095238095238
3,easy,0.05,sHST-River,789,0.5238095238095238
3,easy,0.05,sHST-River,1024,0.5238108844314914
3,easy,0.1,sHST-River,42,0.5238095238095238
3,easy,0.1,sHST-River,123,0.5238102041010696
3,easy,0.1,sHST-River,456,0.5238095238095238
