AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,fold,month,difficulty,algorithm,seed,error,label_budget
0.9991374956071596,0.9999649,0.0,0.0,0.0,0.9535,0,9535,465,500,2676.287100010086,156.32179999374785,0,0.0476190476190476,1,2,easy,AE+IF,1000,,0
0.6782750818263796,0.9885456,0.0,0.0,0.0,0.9648,0,9648,352,500,627.461800002493,225.03279999364167,0,0.0476190476190476,1,2,easy,IF-baseline,42,,0
0.8471451418467648,0.9955224,0.0,0.0,0.0,0.9652,0,9652,348,500,702.6954000175465,162.33610000927,0,0.0476190476190476,1,2,easy,IF-baseline,123,,0
0.8300306704671655,0.994641,0.0,0.0,0.0,0.969,0,9690,310,500,677.8469000128098,146.39330000500195,0,0.0476190476190476,1,2,easy,IF-baseline,456,,0
0.8827356828671857,0.9958246,0.0,0.0,0.0,0.9666,0,9666,334,500,801.7472999927122,169.032400008291,0,0.0476190476190476,1,2,easy,IF-baseline,789,,0
0.867045981809288,0.995793,0.0,0.0,0.0,0.9669,0,9669,331,500,830.1134999783244,221.165299997665,0,0.0476190476190476,1,2,easy,IF-baseline,1000,,0
0.0462364073985092,0.491132,0.0425963488843813,0.0432098765432098,0.042,0.0465,21,465,9535,479,0.0,0.0,0,0.0476190476190476,1,2,easy,Random,42,,0
0.0462364073985092,0.491132,0.0425963488843813,0.0432098765432098,0.042,0.0465,21,465,9535,479,0.0,0.0,100,0.0476190476190476,1,2,easy,Random,42,,100
0.0462364073985092,0.491132,0.0425963488843813,0.0432098765432098,0.042,0.0465,21,465,9535,479,0.0,0.0,500,0.0476190476190476,1,2,easy,Random,42,,500
0.0462364073985092,0.491132,0.0425963488843813,0.0432098765432098,0.042,0.0465,21,465,9535,479,0.0,0.0,1000,0.0476190476190476,1,2,easy,Random,42,,1000
0.0504373434018665,0.4973782,0.056910569105691,0.0578512396694214,0.056,0.0456,28,456,9544,472,0.0,0.0,0,0.0476190476190476,1,2,easy,Random,123,,0
0.0504373434018665,0.4973782,0.056910569105691,0.0578512396694214,0.056,0.0456,28,456,9544,472,0.0,0.0,100,0.0476190476190476,1,2,easy,Random,123,,100
0.0504373434018665,0.4973782,0.056910569105691,0.0578512396694214,0.056,0.0456,28,456,9544,472,0.0,0.0,500,0.0476190476190476,1,2,easy,Random,123,,500
0.0504373434018665,0.4973782,0.056910569105691,0.0578512396694214,0.056,0.0456,28,456,9544,472,0.0,0.0,1000,0.0476190476190476,1,2,easy,Random,123,,1000
0.0488141840174902,0.5056594,0.0547368421052631,0.0577777777777777,0.052,0.0424,26,424,9576,474,0.0,0.0,0,0.0476190476190476,1,2,easy,Random,456,,0
0.0488141840174902,0.5056594,0.0547368421052631,0.0577777777777777,0.052,0.0424,26,424,9576,474,0.0,0.0,100,0.0476190476190476,1,2,easy,Random,456,,100
0.0488141840174902,0.5056594,0.0547368421052631,0.0577777777777777,0.052,0.0424,26,424,9576,474,0.0,0.0,500,0.0476190476190476,1,2,easy,Random,456,,500
0.0488141840174902,0.5056594,0.0547368421052631,0.0577777777777777,0.052,0.0424,26,424,9576,474,0.0,0.0,1000,0.0476190476190476,1,2,easy,Random,456,,1000
0.0495796824561603,0.5127554,0.0445736434108527,0.0432330827067669,0.046,0.0509,23,509,9491,477,0.0,0.0,0,0.0476190476190476,1,2,easy,Random,789,,0
0.0495796824561603,0.5127554,0.0445736434108527,0.0432330827067669,0.046,0.0509,23,509,9491,477,0.0,0.0,100,0.0476190476190476,1,2,easy,Random,789,,100
0.0495796824561603,0.5127554,0.0445736434108527,0.0432330827067669,0.046,0.0509,23,509,9491,477,0.0,0.0,500,0.0476190476190476,1,2,easy,Random,789,,500
0.0495796824561603,0.5127554,0.0445736434108527,0.0432330827067669,0.046,0.0509,23,509,9491,477,0.0,0.0,1000,0.0476190476190476,1,2,easy,Random,789,,1000
0.0493437457103739,0.5112224000000001,0.0461384152457372,0.0462776659959758,0.046,0.0474,23,474,9526,477,0.0,0.0,0,0.0476190476190476,1,2,easy,Random,1000,,0
0.0493437457103739,0.5112224000000001,0.0461384152457372,0.0462776659959758,0.046,0.0474,23,474,9526,477,0.0,0.0,100,0.0476190476190476,1,2,easy,Random,1000,,100
0.0493437457103739,0.5112224000000001,0.0461384152457372,0.0462776659959758,0.046,0.0474,23,474,9526,477,0.0,0.0,500,0.0476190476190476,1,2,easy,Random,1000,,500
0.0493437457103739,0.5112224000000001,0.0461384152457372,0.0462776659959758,0.046,0.0474,23,474,9526,477,0.0,0.0,1000,0.0476190476190476,1,2,easy,Random,1000,,1000
0.1878151340902886,0.9008331,0.0638516992790937,0.0658174097664543,0.062,0.044,31,440,9560,469,0.0,0.0,0,0.0476190476190476,1,2,easy,sHST-River,42,,0
0.1878151340902886,0.9008331,0.0638516992790937,0.0658174097664543,0.062,0.044,31,440,9560,469,0.0,0.0,100,0.0476190476190476,1,2,easy,sHST-River,42,,100
0.169253675365476,0.8887345,0.0495436766623207,0.0711610486891385,0.038,0.0248,19,248,9752,481,0.0,0.0,500,0.0476190476190476,1,2,easy,sHST-River,42,,500
0.1684328883515656,0.8848301,0.0428211586901763,0.0578231292517006,0.034,0.0277,17,277,9723,483,0.0,0.0,1000,0.0476190476190476,1,2,easy,sHST-River,42,,1000
0.2933318423109045,0.9257101,0.2068965517241379,0.3070866141732283,0.156,0.0176,78,176,9824,422,0.0,0.0,0,0.0476190476190476,1,2,easy,sHST-River,123,,0
0.2933318423109045,0.9257101,0.2068965517241379,0.3070866141732283,0.156,0.0176,78,176,9824,422,0.0,0.0,100,0.0476190476190476,1,2,easy,sHST-River,123,,100
0.1979733965956002,0.9025951,0.1409796893667861,0.1750741839762611,0.118,0.0278,59,278,9722,441,0.0,0.0,500,0.0476190476190476,1,2,easy,sHST-River,123,,500
0.2095887674957016,0.9067798,0.1329923273657289,0.1843971631205673,0.104,0.023,52,230,9770,448,0.0,0.0,1000,0.0476190476190476,1,2,easy,sHST-River,123,,1000
0.4587988616297708,0.9305323,0.3739255014326647,0.2912946428571428,0.522,0.0635,261,635,9365,239,0.0,0.0,0,0.0476190476190476,1,2,easy,sHST-River,456,,0
0.4587988616297708,0.9305323,0.3739255014326647,0.2912946428571428,0.522,0.0635,261,635,9365,239,0.0,0.0,100,0.0476190476190476,1,2,easy,sHST-River,456,,100
0.3836112849078035,0.9134717,0.3552,0.296,0.444,0.0528,222,528,9472,278,0.0,0.0,500,0.0476190476190476,1,2,easy,sHST-River,456,,500
0.3434986291529005,0.9127945,0.3202054794520548,0.279940119760479,0.374,0.0481,187,481,9519,313,0.0,0.0,1000,0.0476190476190476,1,2,easy,sHST-River,456,,1000
0.2658803904981757,0.8723969,0.2451759364358683,0.2834645669291338,0.216,0.0273,108,273,9727,392,0.0,0.0,0,0.0476190476190476,1,2,easy,sHST-River,789,,0
0.2658803904981757,0.8723969,0.2451759364358683,0.2834645669291338,0.216,0.0273,108,273,9727,392,0.0,0.0,100,0.0476190476190476,1,2,easy,sHST-River,789,,100
0.2185829765759339,0.8705475,0.2004132231404958,0.2072649572649572,0.194,0.0371,97,371,9629,403,0.0,0.0,500,0.0476190476190476,1,2,easy,sHST-River,789,,500
0.2154135478712303,0.8726406,0.18970736629667,0.1914460285132382,0.188,0.0397,94,397,9603,406,0.0,0.0,1000,0.0476190476190476,1,2,easy,sHST-River,789,,1000
0.2533467254700483,0.9132083,0.204660587639311,0.2073921971252566,0.202,0.0386,101,386,9614,399,0.0,0.0,0,0.0476190476190476,1,2,easy,sHST-River,1000,,0
