,auc_pr_overall,auc_pr_pre,auc_pr_post,mean_score_pre,mean_score_post,adaptation_ratio,early_post_score,late_post_score
MemStream,0.09541129417399104,0.5,0.10213526497531185,14.608483610779047,34.31844433250427,1.0095932842018405,34.15283734633128,34.48405131867727
CA-DIF-EIA-Stream,0.09988635478584684,0.5,0.10025001273500352,36.209628530892125,5772334.075210274,1.0244407177491792,5616524.138592026,5928144.011828524
sHST-River,0.10121302343315076,0.5,0.10171395387615201,0.17499265335942596,0.6377581925531638,0.995685598401897,0.6391241196294847,0.6363922654768429
Random,0.05090172143005961,0.5,0.10230337923264099,0.497756846022481,0.49639174622948756,0.9844889287334629,0.5002846982668981,0.49249879419207704
