difficulty,algo,seed,label_budget,elapsed_s,AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,labels_consumed,anomaly_rate,auc_pr_pre_drift,auc_pr_post_drift,drift_detected_at,drift_point
base,FullMemStream,42,0,3.600607600004878,0.9860346586454206,0.9994825999999999,0.8340283569641368,0.7153075822603719,1.0,0.0199,500,199,9801,0,0,0.047619047619047616,,,,
base,SimplifiedMemStream,42,0,22.179119699983858,0.998511550955993,0.9999262,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,0,0.047619047619047616,,,,
base,FullMemStream,42,100,3.81563900000765,0.9875429830145669,0.9995240000000001,0.10968520346605243,0.058024834629221304,1.0,0.8117,500,8117,1883,0,100,0.047619047619047616,,,,
base,SimplifiedMemStream,42,100,22.6169993999938,0.998511550955993,0.9999262,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,100,0.047619047619047616,,,,
base,FullMemStream,42,500,4.194788399996469,0.788987762099412,0.9149238,0.10968520346605243,0.058024834629221304,1.0,0.8117,500,8117,1883,0,500,0.047619047619047616,,,,
base,SimplifiedMemStream,42,500,25.926333600014914,0.998511550955993,0.9999262,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,500,0.047619047619047616,,,,
base,FullMemStream,123,0,3.702928200014867,0.9866706662869837,0.9994999999999999,0.8375209380234506,0.7204610951008645,1.0,0.0194,500,194,9806,0,0,0.047619047619047616,,,,
base,SimplifiedMemStream,123,0,23.37687080001342,0.9983754299872074,0.9999198,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,0,0.047619047619047616,,,,
base,FullMemStream,123,100,4.20707069998025,0.9865281770018535,0.9994966000000001,0.6002400960384153,0.4288164665523156,1.0,0.0666,500,666,9334,0,100,0.047619047619047616,,,,
base,SimplifiedMemStream,123,100,23.389293999993242,0.9983754299872074,0.9999198,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,100,0.047619047619047616,,,,
base,FullMemStream,123,500,3.416650499973912,0.6338153036029351,0.8952332,0.1096371011950444,0.057997912075165296,1.0,0.8121,500,8121,1879,0,500,0.047619047619047616,,,,
base,SimplifiedMemStream,123,500,24.367956099973526,0.9983754299872074,0.9999198,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,500,0.047619047619047616,,,,
base,FullMemStream,456,0,3.243579400004819,0.9806495615497459,0.9993606,0.8764241893076249,0.7800312012480499,1.0,0.0141,500,141,9859,0,0,0.047619047619047616,,,,
base,SimplifiedMemStream,456,0,23.64148779999232,0.998257052233102,0.9999140000000001,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,0,0.047619047619047616,,,,
base,FullMemStream,456,100,3.888227099989308,0.9702246586732022,0.9919984000000001,0.10960105217010083,0.05797773654916512,1.0,0.8124,500,8124,1876,0,100,0.047619047619047616,,,,
base,SimplifiedMemStream,456,100,25.890858700004173,0.998257052233102,0.9999140000000001,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,100,0.047619047619047616,,,,
base,FullMemStream,456,500,4.255436700012069,0.9025363056548575,0.9688759999999998,0.10960105217010083,0.05797773654916512,1.0,0.8124,500,8124,1876,0,500,0.047619047619047616,,,,
base,SimplifiedMemStream,456,500,26.676607800007332,0.998257052233102,0.9999140000000001,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,500,0.047619047619047616,,,,
base,FullMemStream,789,0,3.187761200009845,0.9864365019057459,0.9994934,0.8291873963515755,0.7082152974504249,1.0,0.0206,500,206,9794,0,0,0.047619047619047616,,,,
base,SimplifiedMemStream,789,0,23.829237900004955,0.998735738625891,0.9999370000000001,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,0,0.047619047619047616,,,,
base,FullMemStream,789,100,3.419840699993074,0.9433927755014684,0.9616411999999999,0.10957703265395573,0.05796429399489914,1.0,0.8126,500,8126,1874,0,100,0.047619047619047616,,,,
base,SimplifiedMemStream,789,100,23.983677999989595,0.998735738625891,0.9999370000000001,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,100,0.047619047619047616,,,,
base,FullMemStream,789,500,3.8322742000164,0.8814069719020712,0.9408987999999999,0.10957703265395573,0.05796429399489914,1.0,0.8126,500,8126,1874,0,500,0.047619047619047616,,,,
base,SimplifiedMemStream,789,500,25.852338999975473,0.998735738625891,0.9999370000000001,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,500,0.047619047619047616,,,,
base,FullMemStream,1000,0,3.4573128999909386,0.9848943024805743,0.999454,0.8583690987124464,0.7518796992481203,1.0,0.0165,500,165,9835,0,0,0.047619047619047616,,,,
base,SimplifiedMemStream,1000,0,24.421179500001017,0.9984740009173068,0.9999244,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,0,0.047619047619047616,,,,
base,FullMemStream,1000,100,4.524838799989084,0.9820887956558711,0.9969492,0.10934937124111536,0.0578368999421631,1.0,0.8145,500,8145,1855,0,100,0.047619047619047616,,,,
base,SimplifiedMemStream,1000,100,27.764825099991867,0.9984740009173068,0.9999244,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,100,0.047619047619047616,,,,
base,FullMemStream,1000,500,5.713847899984103,0.6467548684197556,0.8508026,0.10934937124111536,0.0578368999421631,1.0,0.8145,500,8145,1855,0,500,0.047619047619047616,,,,
base,SimplifiedMemStream,1000,500,30.079736000014236,0.9984740009173068,0.9999244,0.8643042350907519,0.76103500761035,1.0,0.0157,500,157,9843,0,500,0.047619047619047616,,,,
gradual_drift,FullMemStream,42,0,4.058692799997516,0.04987091192416147,0.5054418,0.027989821882951654,0.038461538461538464,0.022,0.0275,11,275,9725,489,0,0.047619047619047616,0.04381302649325321,0.05595114747154707,4950.0,5250.0
gradual_drift,SimplifiedMemStream,42,0,26.121124400000554,0.04934129057557057,0.5168992,0.026470588235294117,0.05,0.018,0.0171,9,171,9829,491,0,0.047619047619047616,0.04398730828917944,0.05524981879905716,4950.0,5250.0
gradual_drift,FullMemStream,42,100,4.396223399991868,0.05037546653528065,0.5160817999999999,0.02373887240356083,0.04597701149425287,0.016,0.0166,8,166,9834,492,100,0.047619047619047616,0.04431351236783067,0.057823558476440384,4950.0,5250.0
gradual_drift,SimplifiedMemStream,42,100,25.073773899988737,0.04934129057557057,0.5168992,0.026470588235294117,0.05,0.018,0.0171,9,171,9829,491,100,0.047619047619047616,0.04398730828917944,0.05524981879905716,4950.0,5250.0
gradual_drift,FullMemStream,42,500,4.301484800002072,0.05019668534738382,0.5275238,0.01090909090909091,0.06,0.006,0.0047,3,47,9953,497,500,0.047619047619047616,0.04429940150832525,0.06125054372811393,4950.0,5250.0
gradual_drift,SimplifiedMemStream,42,500,26.564731999998912,0.04934129057557057,0.5168992,0.026470588235294117,0.05,0.018,0.0171,9,171,9829,491,500,0.047619047619047616,0.04398730828917944,0.05524981879905716,4950.0,5250.0
gradual_drift,FullMemStream,123,0,4.208806200011168,0.050513825760820086,0.4971884,0.031205673758865248,0.05365853658536585,0.022,0.0194,11,194,9806,489,0,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,123,0,29.317402500018943,0.050561044131699436,0.50892,0.02406015037593985,0.048484848484848485,0.016,0.0157,8,157,9843,492,0,0.047619047619047616,,,,
gradual_drift,FullMemStream,123,100,4.190037299995311,0.05046770734663228,0.4983692,0.03133903133903134,0.054455445544554455,0.022,0.0191,11,191,9809,489,100,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,123,100,34.955643299996154,0.050561044131699436,0.50892,0.02406015037593985,0.048484848484848485,0.016,0.0157,8,157,9843,492,100,0.047619047619047616,,,,
gradual_drift,FullMemStream,123,500,4.902772300003562,0.05078321848957233,0.5220382,0.003484320557491289,0.013513513513513514,0.002,0.0073,1,73,9927,499,500,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,123,500,29.579040799988434,0.050561044131699436,0.50892,0.02406015037593985,0.048484848484848485,0.016,0.0157,8,157,9843,492,500,0.047619047619047616,,,,
gradual_drift,FullMemStream,456,0,4.486480099993059,0.04818076668177275,0.4639242,0.036753445635528334,0.0784313725490196,0.024,0.0141,12,141,9859,488,0,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,456,0,25.1652335000108,0.05266527539561927,0.5053749999999999,0.044642857142857144,0.0872093023255814,0.03,0.0157,15,157,9843,485,0,0.047619047619047616,,,,
gradual_drift,FullMemStream,456,100,5.931402299989713,0.048490754257022047,0.4894256,0.0213903743315508,0.09836065573770492,0.012,0.0055,6,55,9945,494,100,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,456,100,31.27033240001765,0.05266527539561927,0.5053749999999999,0.044642857142857144,0.0872093023255814,0.03,0.0157,15,157,9843,485,100,0.047619047619047616,,,,
gradual_drift,FullMemStream,456,500,3.361402899987297,0.04845650719155649,0.493769,0.02185792349726776,0.12244897959183673,0.012,0.0043,6,43,9957,494,500,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,456,500,22.43934929999523,0.05266527539561927,0.5053749999999999,0.044642857142857144,0.0872093023255814,0.03,0.0157,15,157,9843,485,500,0.047619047619047616,,,,
gradual_drift,FullMemStream,789,0,3.219058999995468,0.05908464969135208,0.5557794,0.04160887656033287,0.06787330316742081,0.03,0.0206,15,206,9794,485,0,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,789,0,22.82528389999061,0.05797060426833667,0.54898,0.029985007496251874,0.059880239520958084,0.02,0.0157,10,157,9843,490,0,0.047619047619047616,,,,
gradual_drift,FullMemStream,789,100,2.979256399994483,0.059031245538854776,0.5578417999999999,0.035555555555555556,0.06857142857142857,0.024,0.0163,12,163,9837,488,100,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,789,100,19.731781799986493,0.05797060426833667,0.54898,0.029985007496251874,0.059880239520958084,0.02,0.0157,10,157,9843,490,100,0.047619047619047616,,,,
gradual_drift,FullMemStream,789,500,3.4122848999977577,0.05850717670032651,0.5806482,0.020689655172413793,0.075,0.012,0.0074,6,74,9926,494,500,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,789,500,22.649290200002724,0.05797060426833667,0.54898,0.029985007496251874,0.059880239520958084,0.02,0.0157,10,157,9843,490,500,0.047619047619047616,,,,
gradual_drift,FullMemStream,1000,0,3.172416699992027,0.0504241772170821,0.5068995999999999,0.026706231454005934,0.05172413793103448,0.018,0.0165,9,165,9835,491,0,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,1000,0,25.051458900008583,0.050784991981311464,0.5132722000000001,0.015105740181268883,0.030864197530864196,0.01,0.0157,5,157,9843,495,0,0.047619047619047616,,,,
gradual_drift,FullMemStream,1000,100,3.3190900000045076,0.051321912408538096,0.5166438,0.01594896331738437,0.03937007874015748,0.01,0.0122,5,122,9878,495,100,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,1000,100,23.72118349999073,0.050784991981311464,0.5132722000000001,0.015105740181268883,0.030864197530864196,0.01,0.0157,5,157,9843,495,100,0.047619047619047616,,,,
gradual_drift,FullMemStream,1000,500,3.417045899986988,0.050932870163675675,0.5303932,0.010676156583629894,0.04838709677419355,0.006,0.0059,3,59,9941,497,500,0.047619047619047616,,,,
gradual_drift,SimplifiedMemStream,1000,500,24.10471840001992,0.050784991981311464,0.5132722000000001,0.015105740181268883,0.030864197530864196,0.01,0.0157,5,157,9843,495,500,0.047619047619047616,,,,
sudden_drift,FullMemStream,42,0,3.4231465999910142,0.9044602653555598,0.998112,0.8320802005012531,0.7144906743185079,0.996,0.0199,498,199,9801,2,0,0.047619047619047616,,,,
sudden_drift,SimplifiedMemStream,42,0,20.28483089999645,0.9274070469727036,0.9980374,0.8603642671292281,0.7595712098009189,0.992,0.0157,496,157,9843,4,0,0.047619047619047616,,,,
sudden_drift,FullMemStream,42,100,3.029301700007636,0.9053112514656045,0.9983066,0.727802037845706,0.5720823798627003,1.0,0.0374,500,374,9626,0,100,0.047619047619047616,,,,
