algorithm,difficulty,delta,p_wilcoxon,sig
CA-DIF-EIA,easy,0.028784828351699154,1.5414953256310327e-10,***
CA-DIF-EIA,medium,0.05572732882994513,1.1076151546135735e-10,***
CA-DIF-EIA,hard,0.05909429473442651,1.1076151546135735e-10,***
METER-SCD,easy,0.028784828351699154,1.5414953256310327e-10,***
METER-SCD,medium,0.05572732882994513,1.1076151546135735e-10,***
METER-SCD,hard,0.05909429473442651,1.1076151546135735e-10,***
