AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,score_ms,drift_count,update_count,BAR,label_budget,label_fraction,algorithm,fraud_type,fold,month,seed
0.06463936624094603,0.518129226902285,0.07392197125256673,0.072,0.0759493670886076,0.04870879697669536,54,696,13593,657,6414.3805503845215,0,0,0.06463936624094603,0,0.0,MemStream,canary_only,1,1,42
0.06929402428629522,0.5218233631862421,0.08761122518822723,0.08533333333333333,0.090014064697609,0.04800895793967388,64,686,13603,647,7187.599658966064,0,0,0.06929402428629522,0,0.0,CA-MemStream,canary_only,1,1,42
0.06700870579447923,0.5188251779446564,0.08213552361396305,0.08,0.08438818565400844,0.048288893554482466,60,690,13599,651,8120.3296184539795,38,38,0.06700870579447923,0,0.0,CA-MemStream-EIA,canary_only,1,1,42
1.0,1.0,1.0,1.0,1.0,0.0,711,0,14289,0,0.0,0,0,1.0,0,0.0,Canary-Rules,canary_only,1,1,42
0.048319432300117274,0.5063058843863942,0.05201916495550993,0.050666666666666665,0.053445850914205346,0.049828539435929735,38,712,13577,673,35.95781326293945,0,0,0.048319432300117274,0,0.0,Random,canary_only,1,1,42
0.09820729567883682,0.6893564444444444,0.13066666666666665,0.13066666666666665,0.13066666666666665,0.045754385964912284,98,652,13598,652,5101.897716522217,0,0,0.09820729567883682,0,0.0,MemStream,type1_only,1,1,42
0.09011603629716766,0.7106555321637428,0.10000000000000002,0.1,0.1,0.04736842105263158,75,675,13575,675,6645.615577697754,0,0,0.09011603629716766,0,0.0,CA-MemStream,type1_only,1,1,42
0.09824481260642733,0.7034138011695907,0.12666666666666668,0.12666666666666668,0.12666666666666668,0.04596491228070176,95,655,13595,655,9063.65418434143,38,38,0.09824481260642733,0,0.0,CA-MemStream-EIA,type1_only,1,1,42
,0.4750526315789474,0.0,0.0,0.0,0.04989473684210526,0,711,13539,750,0.0,0,0,,0,0.0,Canary-Rules,type1_only,1,1,42
0.0497723603539577,0.4959112982456141,0.050666666666666665,0.050666666666666665,0.050666666666666665,0.049964912280701754,38,712,13538,712,28.2137393951416,0,0,0.0497723603539577,0,0.0,Random,type1_only,1,1,42
0.09068922011338237,0.6995923274853801,0.06266666666666666,0.06266666666666666,0.06266666666666666,0.04933333333333333,47,703,13547,703,5726.998090744019,0,0,0.09068922011338237,0,0.0,MemStream,type2_only,1,1,42
0.09050599842711118,0.7386442573099415,0.03866666666666667,0.03866666666666667,0.03866666666666667,0.050596491228070174,29,721,13529,721,6718.209266662598,0,0,0.09050599842711118,0,0.0,CA-MemStream,type2_only,1,1,42
0.08285274019261524,0.6721776374269006,0.04933333333333333,0.04933333333333333,0.04933333333333333,0.050035087719298245,37,713,13537,713,7429.404973983765,38,38,0.08285274019261524,0,0.0,CA-MemStream-EIA,type2_only,1,1,42
,0.4750526315789474,0.0,0.0,0.0,0.04989473684210526,0,711,13539,750,0.0,0,0,,0,0.0,Canary-Rules,type2_only,1,1,42
0.05229021723039955,0.510889730994152,0.058666666666666666,0.058666666666666666,0.058666666666666666,0.04954385964912281,44,706,13544,706,53.73573303222656,0,0,0.05229021723039955,0,0.0,Random,type2_only,1,1,42
0.15117693314465264,0.8253169590643277,0.14533333333333334,0.14533333333333334,0.14533333333333334,0.044982456140350874,109,641,13609,641,6802.186965942383,0,0,0.15117693314465264,0,0.0,MemStream,type3_only,1,1,42
0.09396556190636762,0.7400757894736842,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.04912280701754386,50,700,13550,700,6662.76216506958,0,0,0.09396556190636762,0,0.0,CA-MemStream,type3_only,1,1,42
0.18022645665873027,0.8546334035087719,0.16533333333333333,0.16533333333333333,0.16533333333333333,0.043929824561403506,124,626,13624,626,7957.630634307861,38,38,0.18022645665873027,0,0.0,CA-MemStream-EIA,type3_only,1,1,42
,0.4750526315789474,0.0,0.0,0.0,0.04989473684210526,0,711,13539,750,0.0,0,0,,0,0.0,Canary-Rules,type3_only,1,1,42
0.05057718934020346,0.500371649122807,0.05466666666666667,0.05466666666666667,0.05466666666666667,0.04975438596491228,41,709,13541,709,27.9848575592041,0,0,0.05057718934020346,0,0.0,Random,type3_only,1,1,42
0.9174224244923957,0.9709939867654351,0.9147920927062032,0.8946666666666667,0.9358437935843794,0.005531050899670938,671,79,14204,46,4474.755764007568,0,0,0.9174224244923957,0,0.0,MemStream,mixed,1,1,42
0.9281984690313336,0.9714538091386596,0.9188820722563054,0.8986666666666666,0.9400278940027894,0.005321010992088497,674,76,14207,43,6540.694952011108,0,0,0.9281984690313336,0,0.0,CA-MemStream,mixed,1,1,42
0.935118191220461,0.9710857754744671,0.8970688479890933,0.8773333333333333,0.9177126917712691,0.00644122383252818,658,92,14191,59,7805.499315261841,38,38,0.935118191220461,0,0.0,CA-MemStream-EIA,mixed,1,1,42
,0.7791549013559438,0.0,0.0,0.0,0.0,0,0,14283,717,0.0,0,0,,0,0.0,Canary-Rules,mixed,1,1,42
0.04876638178988685,0.5060431635427747,0.05316973415132925,0.052,0.05439330543933055,0.04977945809703844,39,711,13572,678,59.58700180053711,0,0,0.04876638178988685,0,0.0,Random,mixed,1,1,42
0.9188043393689019,0.9807997293716003,0.9253530598520511,0.9173333333333333,0.9335142469470827,0.0043469115894271895,688,62,14201,49,7459.6734046936035,0,0,0.9188043393689019,0,0.0,MemStream,hybrid,1,1,42
0.9349982466944644,0.9813641410330893,0.9347679892400806,0.9266666666666666,0.9430122116689281,0.00385613124868541,695,55,14208,42,7515.103816986084,0,0,0.9349982466944644,0,0.0,CA-MemStream,hybrid,1,1,42
0.9658785744022501,0.9823056516034171,0.945527908540686,0.9373333333333334,0.9538670284938942,0.0032952394306948046,703,47,14216,34,8224.818229675293,18,18,0.9658785744022501,0,0.0,CA-MemStream-EIA,hybrid,1,1,42
,0.8925631985521836,0.0,0.0,0.0,0.0,0,0,14263,737,0.0,0,0,,0,0.0,Canary-Rules,hybrid,1,1,42
0.0507882471123131,0.5080735221104677,0.05379959650302623,0.05333333333333334,0.054274084124830396,0.0497791488466662,40,710,13553,697,51.99432373046875,0,0,0.0507882471123131,0,0.0,Random,hybrid,1,1,42
0.06731318892094926,0.5311875244783715,0.08350444900752907,0.08133333333333333,0.08579465541490858,0.04821890965078032,61,689,13600,650,5311.753988265991,0,0,0.06731318892094926,0,0.0,MemStream,canary_only,1,1,123
