,auc_overall,auc_pre,auc_post,auc_early_post,auc_late_post,recovery_ratio,mean_score_pre,mean_score_post,adaptation_trend,drift_count,update_count
MemStream,0.04480484098311602,0.022781252807645872,0.1437317805309149,0.1518324382900366,0.14008358826934952,0.9195161781623225,14.642954610212643,8.373342384111881,-0.4165098254258965,0.0,0.0
CA-MemStream,0.044751374653435316,0.022780042213243052,0.14322262594960145,0.1503027307628758,0.1398876652207269,0.9280485550357698,10.468316244520018,5.905763955919462,-0.41526135953163584,0.0,0.0
CA-MemStream-EIA,0.04472613461163933,0.022750802005417094,0.1432233963461407,0.15020868029010262,0.14004337357017504,0.9292435675712726,10.467301319750236,5.903427364829675,-0.41523943653313067,7.333333333333333,0.0
sHST-River,0.044033165832755926,0.008183230149265726,0.048664077228371405,0.049168576411989885,0.05026591196253494,1.036706812288573,0.17482353822309196,0.37105153578082195,-0.14515889889764802,0.0,0.0
Random,0.02964620888346088,0.00914136742805815,0.051072394671176434,0.05441931559801474,0.051519641200702626,0.9670326375229017,0.497756846022481,0.49639174622948756,-0.0008093031310962585,0.0,0.0
