AUC_PR,AUC_ROC,F1,Precision,Recall,FPR,TP,FP,TN,FN,train_ms,score_ms,labels_consumed,anomaly_rate,drift_count,update_count,BAR,label_budget,label_fraction,algorithm,difficulty,fold,month,seed,error
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,5260.127305984497,0.0,0.05,0.0,0.0,0.29351130491789795,0,0.0,MemStream,easy,1,1,42,
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,4535.66312789917,0.0,0.05,0.0,0.0,0.29253618430355277,50,0.0033333333333333335,MemStream,easy,1,1,42,
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,4236.233234405518,0.0,0.05,0.0,0.0,0.2915675214416205,100,0.006666666666666667,MemStream,easy,1,1,42,
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,4161.9322299957275,0.0,0.05,0.0,0.0,0.288699644181539,250,0.016666666666666666,MemStream,easy,1,1,42,
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,3701.7276287078857,0.0,0.05,0.0,0.0,0.28404319830764313,500,0.03333333333333333,MemStream,easy,1,1,42,
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,4150.6028175354,0.0,0.05,0.0,0.0,0.27516684836052935,1000,0.06666666666666667,MemStream,easy,1,1,42,
0.29351130491789795,0.9077035789473685,0.3293333333333333,0.3293333333333333,0.3293333333333333,0.035298245614035086,247.0,503.0,13747.0,503.0,0.0,4160.533666610718,0.0,0.05,0.0,0.0,0.2589805631628511,2000,0.13333333333333333,MemStream,easy,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,3799.363374710083,0.0,0.05,0.0,0.0,0.1190564637780238,0,0.0,MemStream,medium,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,4036.4325046539307,0.0,0.05,0.0,0.0,0.11866092735351208,50,0.0033333333333333335,MemStream,medium,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,3859.257459640503,0.0,0.05,0.0,0.0,0.11826801037552034,100,0.006666666666666667,MemStream,medium,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,3323.171377182007,0.0,0.05,0.0,0.0,0.11710471847018734,250,0.016666666666666666,MemStream,medium,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,4711.214303970337,0.0,0.05,0.0,0.0,0.11521593268841011,500,0.03333333333333333,MemStream,medium,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,4064.5906925201416,0.0,0.05,0.0,0.0,0.11161543479189731,1000,0.06666666666666667,MemStream,medium,1,1,42,
0.1190564637780238,0.7520745730994153,0.15733333333333333,0.15733333333333333,0.15733333333333333,0.04435087719298245,118.0,632.0,13618.0,632.0,0.0,4903.945207595825,0.0,0.05,0.0,0.0,0.10504982098060923,2000,0.13333333333333333,MemStream,medium,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,5544.531345367432,0.0,0.05,0.0,0.0,0.07277228713430642,0,0.0,MemStream,hard,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,5495.186328887939,0.0,0.05,0.0,0.0,0.07253051873851138,50,0.0033333333333333335,MemStream,hard,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,5894.435167312622,0.0,0.05,0.0,0.0,0.07229035145792029,100,0.006666666666666667,MemStream,hard,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,5756.425380706787,0.0,0.05,0.0,0.0,0.07157929882062927,250,0.016666666666666666,MemStream,hard,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,5877.247333526611,0.0,0.05,0.0,0.0,0.07042479400094169,500,0.03333333333333333,MemStream,hard,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,4918.834209442139,0.0,0.05,0.0,0.0,0.06822401918841227,1000,0.06666666666666667,MemStream,hard,1,1,42,
0.07277228713430642,0.6164787368421053,0.104,0.104,0.104,0.04715789473684211,78.0,672.0,13578.0,672.0,0.0,4583.621978759766,0.0,0.05,0.0,0.0,0.0642108415890939,2000,0.13333333333333333,MemStream,hard,1,1,42,
,,,,,,,,,,,,,,,,,0,0.0,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,50,0.0033333333333333335,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,100,0.006666666666666667,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,250,0.016666666666666666,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,500,0.03333333333333333,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,1000,0.06666666666666667,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,2000,0.13333333333333333,CA-MemStream,easy,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,0,0.0,CA-MemStream,medium,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,50,0.0033333333333333335,CA-MemStream,medium,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
,,,,,,,,,,,,,,,,,100,0.006666666666666667,CA-MemStream,medium,1,1,42,"too many indices for array: array is 1-dimensional, but 2 were indexed"
