fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies,params,label,group
1,easy,42,MemStream_,0.9741852538075381,0.4641949348643992,0.37199124726477023,0.255,0.6873315363881402,9.062906908988989,0.09650000720284879,2943.5622000019066,371,"{'bufsz': 200, 'memsz': 100, 'k': 5}",MS_b200_m100_k5,MemStream_
1,easy,42,MemStream_,0.9742211559855932,0.4577357878653604,0.36177972283005105,0.248,0.6684636118598383,10.06338963985447,0.05729999975301325,2487.298100022599,371,"{'bufsz': 200, 'memsz': 100, 'k': 10}",MS_b200_m100_k10,MemStream_
1,easy,42,MemStream_,0.9741874141492036,0.451985061206099,0.3559445660102115,0.244,0.6576819407008087,11.225813660621657,0.050000002374872565,4185.806499997852,371,"{'bufsz': 200, 'memsz': 100, 'k': 20}",MS_b200_m100_k20,MemStream_
1,easy,42,MemStream_,0.9799820378392214,0.47338710029746317,0.38657913931436905,0.265,0.7142857142857143,8.086189436912543,0.09770001634024084,5665.96529999515,371,"{'bufsz': 200, 'memsz': 200, 'k': 5}",MS_b200_m200_k5,MemStream_
1,easy,42,MemStream_,0.9795936421630859,0.46886700414498406,0.37928519328956967,0.26,0.7008086253369272,8.769096941947957,0.13760000001639128,5109.830100002,371,"{'bufsz': 200, 'memsz': 200, 'k': 10}",MS_b200_m200_k10,MemStream_
1,easy,42,MemStream_,0.9779493858681979,0.4614136409372794,0.36469730123997085,0.25,0.6738544474393531,9.691524634361285,0.17519999528303742,6039.420499990229,371,"{'bufsz': 200, 'memsz': 200, 'k': 20}",MS_b200_m200_k20,MemStream_
1,easy,42,MemStream_,0.9864848890378984,0.5038528754373329,0.4011670313639679,0.275,0.7412398921832885,6.815914993286141,0.41569999302737415,14825.697699998273,371,"{'bufsz': 200, 'memsz': 500, 'k': 5}",MS_b200_m500_k5,MemStream_
1,easy,42,MemStream_,0.9859626736977146,0.4929590371842385,0.3967906637490883,0.272,0.7331536388140162,7.457965078353905,0.2649000089149922,13899.686599994311,371,"{'bufsz': 200, 'memsz': 500, 'k': 10}",MS_b200_m500_k10,MemStream_
1,easy,42,MemStream_,0.9852362115551841,0.4821382459694604,0.38803792851932895,0.266,0.7169811320754716,8.235149464607257,0.3338000096846372,15093.434699985664,371,"{'bufsz': 200, 'memsz': 500, 'k': 20}",MS_b200_m500_k20,MemStream_
1,easy,42,MemStream_,0.9741852538075381,0.4641949348643992,0.37199124726477023,0.255,0.6873315363881402,9.062906908988989,1.6134000034071505,2858.221499976935,371,"{'bufsz': 500, 'memsz': 100, 'k': 5}",MS_b500_m100_k5,MemStream_
1,easy,42,MemStream_,0.9742211559855932,0.4577357878653604,0.36177972283005105,0.248,0.6684636118598383,10.06338963985447,0.05299999611452222,2838.5914999817032,371,"{'bufsz': 500, 'memsz': 100, 'k': 10}",MS_b500_m100_k10,MemStream_
1,easy,42,MemStream_,0.9741874141492036,0.451985061206099,0.3559445660102115,0.244,0.6576819407008087,11.225813660621657,0.10320000001229346,2598.364799981937,371,"{'bufsz': 500, 'memsz': 100, 'k': 20}",MS_b500_m100_k20,MemStream_
1,easy,42,MemStream_,0.9799820378392214,0.47338710029746317,0.38657913931436905,0.265,0.7142857142857143,8.086189436912543,0.000300002284348011,5412.9443999845535,371,"{'bufsz': 500, 'memsz': 200, 'k': 5}",MS_b500_m200_k5,MemStream_
1,easy,42,MemStream_,0.9795936421630859,0.46886700414498406,0.37928519328956967,0.26,0.7008086253369272,8.769096941947957,0.13959998614154756,5675.303299998632,371,"{'bufsz': 500, 'memsz': 200, 'k': 10}",MS_b500_m200_k10,MemStream_
1,easy,42,MemStream_,0.9779493858681979,0.4614136409372794,0.36469730123997085,0.25,0.6738544474393531,9.691524634361285,0.12689997674897313,5648.733800015179,371,"{'bufsz': 500, 'memsz': 200, 'k': 20}",MS_b500_m200_k20,MemStream_
1,easy,42,MemStream_,0.9864848890378984,0.5038528754373329,0.4011670313639679,0.275,0.7412398921832885,6.815914993286141,0.3176000027451664,13516.609000012977,371,"{'bufsz': 500, 'memsz': 500, 'k': 5}",MS_b500_m500_k5,MemStream_
1,easy,42,MemStream_,0.9859626736977146,0.4929590371842385,0.3967906637490883,0.272,0.7331536388140162,7.457965078353905,1.2388000031933188,13955.65090002492,371,"{'bufsz': 500, 'memsz': 500, 'k': 10}",MS_b500_m500_k10,MemStream_
