fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies,params,label,group
1,easy,42,MemStream_,0.9799820378392214,0.47338710029746317,0.38657913931436905,0.265,0.7142857142857143,8.086189436912543,0.4154000198468566,5702.798799989978,371,"{'bufsz': 200, 'memsz': 200, 'k': 5}",MS_b200_m200_k5,MemStream_
1,easy,42,MemStream_,0.9795936421630859,0.46886700414498406,0.37928519328956967,0.26,0.7008086253369272,8.769096941947957,0.10770000517368317,6844.636099995114,371,"{'bufsz': 200, 'memsz': 200, 'k': 10}",MS_b200_m200_k10,MemStream_
1,easy,42,MemStream_,0.9779493858681979,0.4614136409372794,0.36469730123997085,0.25,0.6738544474393531,9.691524634361285,0.18730000010691583,5062.284900021041,371,"{'bufsz': 200, 'memsz': 200, 'k': 20}",MS_b200_m200_k20,MemStream_
1,easy,42,MemStream_,0.9864848890378984,0.5038528754373329,0.4011670313639679,0.275,0.7412398921832885,6.815914993286141,0.41459998465143144,16730.701799999224,371,"{'bufsz': 200, 'memsz': 500, 'k': 5}",MS_b200_m500_k5,MemStream_
1,easy,42,MemStream_,0.9859626736977146,0.4929590371842385,0.3967906637490883,0.272,0.7331536388140162,7.457965078353905,0.32179997651837766,17940.365900023608,371,"{'bufsz': 200, 'memsz': 500, 'k': 10}",MS_b200_m500_k10,MemStream_
1,easy,42,MemStream_,0.9852362115551841,0.4821382459694604,0.38803792851932895,0.266,0.7169811320754716,8.235149464607257,0.1790999958757311,15186.545600008685,371,"{'bufsz': 200, 'memsz': 500, 'k': 20}",MS_b200_m500_k20,MemStream_
1,easy,42,MemStream_,0.9886799041872268,0.514225446361927,0.4113785557986871,0.282,0.7601078167115903,6.2653972029686,0.34130000858567655,27320.379799988586,371,"{'bufsz': 200, 'memsz': 1000, 'k': 5}",MS_b200_m1000_k5,MemStream_
1,easy,42,MemStream_,0.9874978394895577,0.5025245435491388,0.40408460977388766,0.277,0.7466307277628033,6.800713126659397,0.5592000088654459,28646.93950000219,371,"{'bufsz': 200, 'memsz': 1000, 'k': 10}",MS_b200_m1000_k10,MemStream_
1,easy,42,MemStream_,0.9867781149125968,0.4911555813232263,0.3953318745441284,0.271,0.7304582210242587,7.472309186458602,0.752199994167313,32031.468699977268,371,"{'bufsz': 200, 'memsz': 1000, 'k': 20}",MS_b200_m1000_k20,MemStream_
1,easy,42,MemStream_,0.9799820378392214,0.47338710029746317,0.38657913931436905,0.265,0.7142857142857143,8.086189436912543,0.12250000145286322,5447.495500004152,371,"{'bufsz': 500, 'memsz': 200, 'k': 5}",MS_b500_m200_k5,MemStream_
1,easy,42,MemStream_,0.9795936421630859,0.46886700414498406,0.37928519328956967,0.26,0.7008086253369272,8.769096941947957,0.08919998072087765,4963.5874000086915,371,"{'bufsz': 500, 'memsz': 200, 'k': 10}",MS_b500_m200_k10,MemStream_
1,easy,42,MemStream_,0.9779493858681979,0.4614136409372794,0.36469730123997085,0.25,0.6738544474393531,9.691524634361285,0.18699999782256782,5272.649199992884,371,"{'bufsz': 500, 'memsz': 200, 'k': 20}",MS_b500_m200_k20,MemStream_
1,easy,42,MemStream_,0.9864848890378984,0.5038528754373329,0.4011670313639679,0.275,0.7412398921832885,6.815914993286141,0.21850000484846532,14788.807000004454,371,"{'bufsz': 500, 'memsz': 500, 'k': 5}",MS_b500_m500_k5,MemStream_
1,easy,42,MemStream_,0.9859626736977146,0.4929590371842385,0.3967906637490883,0.272,0.7331536388140162,7.457965078353905,0.2890000178012997,15088.42350001214,371,"{'bufsz': 500, 'memsz': 500, 'k': 10}",MS_b500_m500_k10,MemStream_
1,easy,42,MemStream_,0.9852362115551841,0.4821382459694604,0.38803792851932895,0.266,0.7169811320754716,8.235149464607257,0.3527000080794096,14511.203300004127,371,"{'bufsz': 500, 'memsz': 500, 'k': 20}",MS_b500_m500_k20,MemStream_
1,easy,42,MemStream_,0.9886799041872268,0.514225446361927,0.4113785557986871,0.282,0.7601078167115903,6.2653972029686,0.6074999982956797,31032.40579998237,371,"{'bufsz': 500, 'memsz': 1000, 'k': 5}",MS_b500_m1000_k5,MemStream_
1,easy,42,MemStream_,0.9874978394895577,0.5025245435491388,0.40408460977388766,0.277,0.7466307277628033,6.800713126659397,0.5818000063300133,33734.720999986166,371,"{'bufsz': 500, 'memsz': 1000, 'k': 10}",MS_b500_m1000_k10,MemStream_
1,easy,42,MemStream_,0.9867781149125968,0.4911555813232263,0.3953318745441284,0.271,0.7304582210242587,7.472309186458602,0.6695000047329813,31982.39439999452,371,"{'bufsz': 500, 'memsz': 1000, 'k': 20}",MS_b500_m1000_k20,MemStream_
1,easy,42,MemStream_,0.9799820378392214,0.47338710029746317,0.38657913931436905,0.265,0.7142857142857143,8.086189436912543,0.09869999485090375,7326.337700011209,371,"{'bufsz': 1000, 'memsz': 200, 'k': 5}",MS_b1000_m200_k5,MemStream_
1,easy,42,MemStream_,0.9795936421630859,0.46886700414498406,0.37928519328956967,0.26,0.7008086253369272,8.769096941947957,0.0900000159163028,5276.134100015042,371,"{'bufsz': 1000, 'memsz': 200, 'k': 10}",MS_b1000_m200_k10,MemStream_
1,easy,42,MemStream_,0.9779493858681979,0.4614136409372794,0.36469730123997085,0.25,0.6738544474393531,9.691524634361285,0.14329998521134257,6218.030899995938,371,"{'bufsz': 1000, 'memsz': 200, 'k': 20}",MS_b1000_m200_k20,MemStream_
1,easy,42,MemStream_,0.9864848890378984,0.5038528754373329,0.4011670313639679,0.275,0.7412398921832885,6.815914993286141,0.18560001626610756,12856.194299994968,371,"{'bufsz': 1000, 'memsz': 500, 'k': 5}",MS_b1000_m500_k5,MemStream_
1,easy,42,MemStream_,0.9859626736977146,0.4929590371842385,0.3967906637490883,0.272,0.7331536388140162,7.457965078353905,0.19230000907555223,13351.7492999963,371,"{'bufsz': 1000, 'memsz': 500, 'k': 10}",MS_b1000_m500_k10,MemStream_
1,easy,42,MemStream_,0.9852362115551841,0.4821382459694604,0.38803792851932895,0.266,0.7169811320754716,8.235149464607257,0.5626000056508929,12596.84629997355,371,"{'bufsz': 1000, 'memsz': 500, 'k': 20}",MS_b1000_m500_k20,MemStream_
1,easy,42,MemStream_,0.9886799041872268,0.514225446361927,0.4113785557986871,0.282,0.7601078167115903,6.2653972029686,0.6910999945830554,43185.270500020124,371,"{'bufsz': 1000, 'memsz': 1000, 'k': 5}",MS_b1000_m1000_k5,MemStream_
1,easy,42,MemStream_,0.9874978394895577,0.5025245435491388,0.40408460977388766,0.277,0.7466307277628033,6.800713126659397,2.898200007621199,28870.01670000609,371,"{'bufsz': 1000, 'memsz': 1000, 'k': 10}",MS_b1000_m1000_k10,MemStream_
1,easy,42,MemStream_,0.9867781149125968,0.4911555813232263,0.3953318745441284,0.271,0.7304582210242587,7.472309186458602,0.7207999879028648,30947.772399988025,371,"{'bufsz': 1000, 'memsz': 1000, 'k': 20}",MS_b1000_m1000_k20,MemStream_
1,easy,42,HBOS,0.9383700970151383,0.3075599065410113,0.2348650619985412,0.161,0.4339622641509434,2.512294614990455,60.702000017045066,216.42460001748987,371,{'n_bins': 5},HBOS_b5,HBOS
1,easy,42,HBOS,0.948335199530979,0.3023508697802724,0.3078045222465354,0.211,0.568733153638814,3.0275965414568455,42.33960001147352,297.81409999122843,371,{'n_bins': 10},HBOS_b10,HBOS
1,easy,42,HBOS,0.9467340758076582,0.32581303060735156,0.3150984682713348,0.216,0.5822102425876011,3.444321003434958,52.84039999241941,302.9900999972597,371,{'n_bins': 20},HBOS_b20,HBOS
1,easy,42,HBOS,0.9583022463543187,0.3325507016458381,0.31072210065645517,0.213,0.5741239892183289,4.113559599475422,47.09229999571107,305.03760001738556,371,{'n_bins': 50},HBOS_b50,HBOS
1,easy,42,HBOS,0.9705120518777967,0.4411414940400988,0.3676148796498906,0.252,0.6792452830188679,4.5177247762790635,39.059000002453104,267.18660001643,371,{'n_bins': 100},HBOS_b100,HBOS
1,easy,42,sklearn_IF,0.9856600435857032,0.49628669412509246,0.38657913931436905,0.265,0.7142857142857143,0.580126186672486,1518.2756999856792,2516.6107999975793,371,"{'n_estimators': 100, 'max_features': 1.0}",IF_n100,sklearn_IF
1,easy,42,sklearn_IF,0.9853458353925777,0.4941688305503449,0.38657913931436905,0.265,0.7142857142857143,0.5800020148403888,3025.750600005267,6268.8233999942895,371,"{'n_estimators': 200, 'max_features': 1.0}",IF_n200,sklearn_IF
1,easy,42,CADIFEia,0.9679894074127453,0.09432948258380576,0.18526622902990517,0.127,0.3423180592991914,0.6626696086476569,618.0204000265803,622.5775000057183,371,"{'n_bins': 3, 'n_estimators': 50}",CADIFEia_b3_n50,CADIFEia
1,easy,42,CADIFEia,0.978952749803716,0.22460212971927418,0.30196936542669583,0.207,0.5579514824797843,0.6613412092191782,2384.606799983885,2380.200900021009,371,"{'n_bins': 3, 'n_estimators': 200}",CADIFEia_b3_n200,CADIFEia
1,easy,42,CADIFEia,0.9691306011465284,0.08531896485361905,0.1560522986081822,0.0925,0.49865229110512127,0.6491679841287327,567.1582999930251,661.6910000157077,371,"{'n_bins': 5, 'n_estimators': 50}",CADIFEia_b5_n50,CADIFEia
1,easy,42,CADIFEia,0.9791641527378301,0.2132570633371104,0.29321663019693656,0.201,0.5417789757412399,0.6630063375540038,2140.845400019316,2397.6566000201274,371,"{'n_bins': 5, 'n_estimators': 200}",CADIFEia_b5_n200,CADIFEia
1,easy,42,CADIFEia,0.971302912455165,0.0896925595181609,0.16776075857038658,0.115,0.30997304582210244,0.6643590313709494,676.6043000097852,760.2973000030033,371,"{'n_bins': 10, 'n_estimators': 50}",CADIFEia_b10_n50,CADIFEia
1,easy,42,CADIFEia,0.9791224446415486,0.21327921504768824,0.2844638949671772,0.195,0.5256064690026954,0.6652015692541464,2322.4618999811355,2330.149799992796,371,"{'n_bins': 10, 'n_estimators': 200}",CADIFEia_b10_n200,CADIFEia
1,medium,42,MemStream_,0.955482807140249,0.14768238691315572,0.2347949080622348,0.166,0.40096618357487923,7.842180078029639,0.2167999919038266,5243.259000009857,414,"{'bufsz': 200, 'memsz': 200, 'k': 5}",MS_b200_m200_k5,MemStream_
1,medium,42,MemStream_,0.9548708822431515,0.13933515431798577,0.21782178217821782,0.154,0.3719806763285024,8.457669625282305,0.1317999849561602,5137.63400001335,414,"{'bufsz': 200, 'memsz': 200, 'k': 10}",MS_b200_m200_k10,MemStream_
1,medium,42,MemStream_,0.9516850242320444,0.12342549642947347,0.2079207920792079,0.147,0.35507246376811596,9.464609479904178,0.5139000131748617,6900.477999995928,414,"{'bufsz': 200, 'memsz': 200, 'k': 20}",MS_b200_m200_k20,MemStream_
1,medium,42,MemStream_,0.970328531751547,0.18224836263531435,0.272984441301273,0.193,0.46618357487922707,6.635426013469735,1.4958000101614743,15144.946400017943,414,"{'bufsz': 200, 'memsz': 500, 'k': 5}",MS_b200_m500_k5,MemStream_
