fold,difficulty,seed,label,group,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
1,easy,42,MS_k3,MemStream_,0.9811956840316145,0.47581406947806254,0.38803792851932895,0.266,0.7169811320754716,7.696115937232973,2849.49379999307,0.2964999875985086,371
1,easy,42,MS_k5,MemStream_,0.9799820378392214,0.47338710029746317,0.38657913931436905,0.265,0.7142857142857143,8.086189436912543,4221.645399986301,0.444200006313622,371
1,easy,42,MS_k7,MemStream_,0.9796221721752071,0.4717727487485037,0.3822027716994894,0.262,0.706199460916442,8.400873665809632,3315.689300012309,0.5151999939698726,371
1,easy,42,MS_k10,MemStream_,0.9795936421630859,0.46886700414498406,0.37928519328956967,0.26,0.7008086253369272,8.769096941947957,2974.3996000033803,0.30490002245642245,371
1,easy,42,MS_k20,MemStream_,0.9779493858681979,0.4614136409372794,0.36469730123997085,0.25,0.6738544474393531,9.691524634361285,2760.5824999918696,0.3708000003825873,371
1,easy,42,MS_k5_diverse,MemStream_,0.986381806985111,0.5012674942091198,0.399708242159008,0.274,0.738544474393531,7.308111915588389,23285.402400011662,0.3215000033378601,371
1,easy,42,MS_k5_kmeans,MemStream_,0.986494097494248,0.4984735103056579,0.399708242159008,0.274,0.738544474393531,7.148824706077594,3529.020699992543,0.38660000427626073,371
1,easy,42,MS_k5_m500,MemStream_,0.9864848890378984,0.5038528754373329,0.4011670313639679,0.275,0.7412398921832885,6.815914993286141,8034.536500024842,0.4512000014074147,371
1,easy,42,MS_k5_wt,MemStream_,0.9808083347709732,0.47475241413449604,0.38803792851932895,0.266,0.7169811320754716,8.023070182800296,3046.157000004314,0.5267999949865043,371
1,easy,42,HBOS_b5,HBOS,0.9383700970151383,0.3075599065410113,0.2348650619985412,0.161,0.4339622641509434,2.512294614990455,139.94839999941178,0.26309999520890415,371
1,easy,42,HBOS_b10,HBOS,0.948335199530979,0.3023508697802724,0.3078045222465354,0.211,0.568733153638814,3.0275965414568455,133.19680001586676,0.2924999862443656,371
1,easy,42,HBOS_b20,HBOS,0.9467340758076582,0.32581303060735156,0.3150984682713348,0.216,0.5822102425876011,3.444321003434958,160.64230000483803,0.5500999977812171,371
1,easy,42,HBOS_b50,HBOS,0.9583022463543187,0.3325507016458381,0.31072210065645517,0.213,0.5741239892183289,4.113559599475422,162.06669999519363,0.2820999943651259,371
1,easy,42,HBOS_b100,HBOS,0.9705120518777967,0.4411414940400988,0.3676148796498906,0.252,0.6792452830188679,4.5177247762790635,202.7216000133194,0.3452999808359891,371
1,easy,42,IF_n100,sklearn_IF,0.9856600435857032,0.49628669412509246,0.38657913931436905,0.265,0.7142857142857143,0.580126186672486,3439.7681999835186,0.5560000136028975,371
