algorithm,fold,difficulty,budget_pct,seed,AUC_ROC,AUC_PR
sklearn_IF,1,easy,0.01,42,0.9667586067573137,0.06944231051821201
sklearn_IF,1,easy,0.01,123,0.9699544676939065,0.09359857451909487
sklearn_IF,1,easy,0.01,456,0.9682813910909859,0.08982507368923069
sklearn_IF,1,easy,0.05,42,0.9683025624393088,0.07543255053680556
sklearn_IF,1,easy,0.05,123,0.9738776616607635,0.09562831010154646
sklearn_IF,1,easy,0.05,456,0.9677080634172076,0.08923978257771374
sklearn_IF,1,easy,0.1,42,0.9649003348651101,0.052019690350272
sklearn_IF,1,easy,0.1,123,0.9708588407236665,0.09880830067749131
sklearn_IF,1,easy,0.1,456,0.9698076454734583,0.09399726486633815
sklearn_IF,1,easy,0.25,42,0.9661395068444957,0.09513217415194744
sklearn_IF,1,easy,0.25,123,0.9691619733581536,0.08487222892932152
sklearn_IF,1,easy,0.25,456,0.9717479968468193,0.09488021338074469
sklearn_IF,1,easy,0.5,42,0.9701571752528163,0.08479482102343212
sklearn_IF,1,easy,0.5,123,0.9661992402915496,0.06628484899326893
sklearn_IF,1,easy,0.5,456,0.9697129549978283,0.11033190386700437
sklearn_IF,1,easy,1.0,42,0.9681345148619962,0.06470840438490028
sklearn_IF,1,easy,1.0,123,0.9732286140116061,0.10281509913091211
sklearn_IF,1,easy,1.0,456,0.9709673573859563,0.17926247081738372
sklearn_IF,1,medium,0.01,42,0.9354305562272358,0.01837990834518267
sklearn_IF,1,medium,0.01,123,0.9382323825778298,0.020598070386058456
sklearn_IF,1,medium,0.01,456,0.9386103388603781,0.01927348575458075
sklearn_IF,1,medium,0.05,42,0.9351936406913035,0.020080821407164065
sklearn_IF,1,medium,0.05,123,0.9423619936747327,0.021172919742479524
sklearn_IF,1,medium,0.05,456,0.9382833334567773,0.02046526804774774
sklearn_IF,1,medium,0.1,42,0.9347573753031093,0.016898942345707005
sklearn_IF,1,medium,0.1,123,0.9380748221281822,0.020687808879472223
sklearn_IF,1,medium,0.1,456,0.9409004416920804,0.02118400176250729
sklearn_IF,1,medium,0.25,42,0.9326608616067142,0.01873463697432501
sklearn_IF,1,medium,0.25,123,0.9384159751748922,0.021715002764421006
sklearn_IF,1,medium,0.25,456,0.9446175443070538,0.022684199763885398
sklearn_IF,1,medium,0.5,42,0.9382998894668486,0.0186414417990438
sklearn_IF,1,medium,0.5,123,0.9331961362919794,0.0185711698909294
sklearn_IF,1,medium,0.5,456,0.9354091955855868,0.022370428518501975
sklearn_IF,1,medium,1.0,42,0.9387119380596094,0.01935873781065036
sklearn_IF,1,medium,1.0,123,0.9418370543934156,0.02091471033792282
sklearn_IF,1,medium,1.0,456,0.9383623617797052,0.02537564541936603
sklearn_IF,1,hard,0.01,42,0.8583535450903017,0.006846638348618936
sklearn_IF,1,hard,0.01,123,0.8442456525715153,0.006818509873130745
sklearn_IF,1,hard,0.01,456,0.854791156310033,0.007028986766301151
sklearn_IF,1,hard,0.05,42,0.8500189931539379,0.006850499781363007
sklearn_IF,1,hard,0.05,123,0.8610717270809547,0.007209979946534713
sklearn_IF,1,hard,0.05,456,0.8515144908598378,0.006711754036752751
sklearn_IF,1,hard,0.1,42,0.8535530174387423,0.006756788880449443
sklearn_IF,1,hard,0.1,123,0.8561325344839787,0.007024347388371608
sklearn_IF,1,hard,0.1,456,0.8576701192923547,0.00708504924448243
sklearn_IF,1,hard,0.25,42,0.8510434590434273,0.0066948126930717975
sklearn_IF,1,hard,0.25,123,0.8515217385280072,0.00689027644307636
sklearn_IF,1,hard,0.25,456,0.8589211680725721,0.00721470296736679
sklearn_IF,1,hard,0.5,42,0.8499640361112935,0.006606143269344763
sklearn_IF,1,hard,0.5,123,0.8446993246239101,0.006607138821600749
sklearn_IF,1,hard,0.5,456,0.8467535322789823,0.006794724715477548
sklearn_IF,1,hard,1.0,42,0.857468396969281,0.007035286846739391
sklearn_IF,1,hard,1.0,123,0.854418381024411,0.007024722032984399
sklearn_IF,1,hard,1.0,456,0.8541850833822906,0.007250779341216383
MemStream_,1,easy,0.01,42,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.01,123,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.01,456,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.05,42,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.05,123,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.05,456,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.1,42,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.1,123,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.1,456,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.25,42,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.25,123,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.25,456,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.5,42,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.5,123,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,0.5,456,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,1.0,42,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,1.0,123,0.9863564162194726,0.4827889382207786
MemStream_,1,easy,1.0,456,0.9863564162194726,0.4827889382207786
MemStream_,1,medium,0.01,42,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.01,123,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.01,456,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.05,42,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.05,123,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.05,456,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.1,42,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.1,123,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.1,456,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.25,42,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.25,123,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.25,456,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.5,42,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.5,123,0.968452153687602,0.15906488123032395
MemStream_,1,medium,0.5,456,0.968452153687602,0.15906488123032395
MemStream_,1,medium,1.0,42,0.968452153687602,0.15906488123032395
MemStream_,1,medium,1.0,123,0.968452153687602,0.15906488123032395
MemStream_,1,medium,1.0,456,0.968452153687602,0.15906488123032395
MemStream_,1,hard,0.01,42,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.01,123,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.01,456,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.05,42,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.05,123,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.05,456,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.1,42,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.1,123,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.1,456,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.25,42,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.25,123,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.25,456,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.5,42,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.5,123,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,0.5,456,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,1.0,42,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,1.0,123,0.9079442090491827,0.022373226371421178
MemStream_,1,hard,1.0,456,0.9079442090491827,0.022373226371421178
