algorithm,avg_rank,cd
CADIFEia,5.545454545454546,2.8493030726828623
HBOS,4.818181818181818,2.8493030726828623
IForestASD_,6.818181818181818,2.8493030726828623
MemStream_,2.272727272727273,2.8493030726828623
sHST_Mem_Ensemble,2.727272727272727,2.8493030726828623
sHST_River,7.545454545454546,2.8493030726828623
sklearn_IF,5.2727272727272725,2.8493030726828623
sklearn_LOF,1.0,2.8493030726828623
