fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
1,easy,42,sklearn_IF,0.9631175939183897,0.049124903224006644,0.1050328227571116,0.072,0.1940700808625337,0.6608891983907541,1210.4418000089936,2344.830899994122,371
1,easy,123,sklearn_IF,0.9717972391346594,0.1058531374681463,0.18964259664478483,0.13,0.3504043126684636,0.6576472273558736,1229.0564999857452,2419.713099981891,371
1,easy,456,sklearn_IF,0.972925383054569,0.1547428407674211,0.23194748358862144,0.159,0.42857142857142855,0.6583555522752883,1264.6145999897271,2262.440799997421,371
1,easy,789,sklearn_IF,0.965019653235728,0.07621450458486453,0.14587892049598833,0.1,0.2695417789757412,0.6565704838000589,1339.6278000145685,2551.3563999847975,371
1,easy,1024,sklearn_IF,0.9691898957741814,0.08705030147488726,0.17359591539022612,0.119,0.32075471698113206,0.6568817537665017,1416.7135000170674,2406.459600024391,371
1,medium,42,sklearn_IF,0.9305367303555073,0.016623001680585184,0.03930316549819418,0.020555555555555556,0.4468599033816425,0.5778826810754272,1372.1564000006765,2692.402699991362,414
1,medium,123,sklearn_IF,0.9430681292884968,0.0252099485561614,0.047708138447146865,0.0255,0.3695652173913043,0.6023216008982007,1386.0534999985248,2495.80689999857,414
1,medium,456,sklearn_IF,0.9441455648942102,0.02496303295578992,0.05443308771095793,0.028625,0.5531400966183575,0.5834253760557114,1323.6998000065796,2375.4344999906607,414
1,medium,789,sklearn_IF,0.931050608092084,0.02075533472473411,0.043339706819630335,0.02266666666666667,0.4927536231884058,0.5811827052303389,1423.1963999918662,2676.6505999839865,414
1,medium,1024,sklearn_IF,0.9359875788292393,0.019264103750395514,0.0445554061839831,0.0232,0.5603864734299517,0.5713978649766411,1218.6457000207156,2303.10940000345,414
1,hard,42,sklearn_IF,0.8484690979680096,0.006525918392688036,0.014485119831445879,0.007333333333333333,0.5851063829787234,0.5147057325962863,1453.8592000026256,2712.96559998882,376
1,hard,123,sklearn_IF,0.8626968567928983,0.007485098504465234,0.01754047802621434,0.0091,0.24202127659574468,0.5743431221600136,1340.4904000053648,2741.225800011307,376
1,hard,456,sklearn_IF,0.8636132604828992,0.007846456891166666,0.0185069008782936,0.009833333333333333,0.15691489361702127,0.6006169648653215,1334.5742999808863,2336.6268999816384,376
1,hard,789,sklearn_IF,0.8360311667850453,0.0064531612973606775,0.015625,0.0084,0.11170212765957446,0.6098101079961662,1408.040100010112,2524.3167000007816,376
1,hard,1024,sklearn_IF,0.8402292719887857,0.006416464797014858,0.015400717703349283,0.007923076923076923,0.27393617021276595,0.5576778360154832,1279.238199989777,2489.649700000882,376
2,easy,42,sklearn_IF,0.9632690182448381,0.0362980514280486,0.08088235294117647,0.044,0.5,0.6340516272907822,1346.1352000012994,2472.0220000017434,352
2,easy,123,sklearn_IF,0.9693381943128998,0.074629014027341,0.15976331360946747,0.108,0.3068181818181818,0.6633482109813214,1508.3953999856021,2365.316800016444,352
2,easy,456,sklearn_IF,0.9680274783619169,0.04931342668883305,0.10204081632653061,0.06,0.3409090909090909,0.6564684829464472,1353.9058999740519,2295.5879000073764,352
2,easy,789,sklearn_IF,0.9639040705960672,0.0992616191111952,0.16272189349112426,0.11,0.3125,0.6515818221664742,1517.7744000102393,2382.622100005392,352
2,easy,1024,sklearn_IF,0.9602212962996692,0.037841629529839965,0.09013605442176871,0.053,0.30113636363636365,0.6488398757540365,1353.6088000109885,2418.455599981826,352
2,medium,42,sklearn_IF,0.926324457460035,0.015957138152013144,0.029400386847195356,0.0152,0.4470588235294118,0.5872371371501391,1499.7817000257783,2465.180600003805,340
2,medium,123,sklearn_IF,0.9353503161256489,0.017949532333485535,0.03368606701940035,0.017363636363636362,0.5617647058823529,0.5853411178094701,1392.254700011108,2582.2015999874566,340
2,medium,456,sklearn_IF,0.9366069376764028,0.018714278565963263,0.03322528363047002,0.017083333333333332,0.6029411764705882,0.5815561342058193,1282.4193999986164,2653.4971999935806,340
2,medium,789,sklearn_IF,0.9261786065723494,0.021039593407745114,0.031141199226305608,0.0161,0.47352941176470587,0.5856202678736447,1483.4671999851707,2442.3647000221536,340
2,medium,1024,sklearn_IF,0.9250026810283364,0.015891207217080705,0.03056092843326886,0.0158,0.4647058823529412,0.5880365362297338,1522.4236999929417,3001.1413999891374,340
2,hard,42,sklearn_IF,0.8367635945287144,0.005117250665564613,0.01178956154307624,0.005947368421052632,0.6666666666666666,0.5138482570141604,1416.1848000076134,2568.467300006887,339
2,hard,123,sklearn_IF,0.8507710983095698,0.005667921183261818,0.013729552552645413,0.0069375,0.6548672566371682,0.5244783504410773,1308.5814000223763,2637.766500003636,339
2,hard,456,sklearn_IF,0.8512643828043696,0.005653842454766068,0.013592011845552223,0.006884615384615385,0.528023598820059,0.5372308359487493,1389.422399981413,2421.290300000692,339
2,hard,789,sklearn_IF,0.8234982779587212,0.005057434319952137,0.01194921583271098,0.008,0.02359882005899705,0.6500226840469513,1435.7881000032648,2447.0672000024933,339
