fold,difficulty,seed,algorithm,AUC_ROC,AUC_PR,F1,Precision,Recall,optimal_threshold,train_ms,score_ms,n_anomalies
8,medium,456,CADIFEia,0.933004030429267,0.0170267870914073,0.034324942791762,0.01875,0.2027027027027027,0.6296598144514581,2060.7272000052035,1785.9406999778005,370
8,medium,789,CADIFEia,0.9317165540032846,0.0234648432922099,0.0498516320474777,0.028,0.227027027027027,0.6383421686873068,1274.956800014479,1641.3424000202212,370
8,medium,1024,CADIFEia,0.9367596810856842,0.03219847928274,0.0613138686131386,0.042,0.1135135135135135,0.6627659699625102,1595.8240999898408,1636.160900001414,370
8,hard,42,CADIFEia,0.8419926496291481,0.0061693147770143,0.014903129657228,0.0083333333333333,0.0704225352112676,0.6337132015338062,1781.7623000009917,1785.8426999882795,355
8,hard,123,CADIFEia,0.8543816965254171,0.0071843991097424,0.0220566318926974,0.0123333333333333,0.104225352112676,0.631285708260337,1655.0038999994283,1930.7963000028396,355
8,hard,456,CADIFEia,0.8690061055556711,0.0066562886328301,0.0149881191738256,0.0075925925925925,0.5774647887323944,0.5414596180850434,1637.6281999982891,1805.1354000053836,355
8,hard,789,CADIFEia,0.8550370146446562,0.0063306705298789,0.0136131193792981,0.0068928571428571,0.543661971830986,0.5411686044068839,1655.3207999968436,1801.132300024619,355
8,hard,1024,CADIFEia,0.8595297074843058,0.006947538826233,0.0178837555886736,0.01,0.0845070422535211,0.6373845772239238,1880.8170999982397,2060.030900000129,355
9,easy,42,CADIFEia,0.9659486417143462,0.0896056147670047,0.1832178598922247,0.119,0.3979933110367893,0.6648378216829657,1852.0636000030208,1732.1873000182677,299
9,easy,123,CADIFEia,0.9616315689614836,0.1319109975678332,0.1939953810623556,0.126,0.4214046822742475,0.6621757837521443,1687.720600020839,1728.278099995805,299
9,easy,456,CADIFEia,0.9689287491488738,0.1336822856076935,0.2109314857582755,0.137,0.4581939799331103,0.6633102539408492,1770.6162999966182,1959.996299992781,299
9,easy,789,CADIFEia,0.966736324316559,0.1410091901840386,0.1909160892994611,0.124,0.4147157190635451,0.6604602801423795,1726.8154000048526,1952.5506000209132,299
