algorithm,avg_rank,cd
CADIFEia,5.454545454545454,2.8493030726828623
HBOS,4.0,2.8493030726828623
IForestASD_,7.0,2.8493030726828623
MemStream_,2.5454545454545454,2.8493030726828623
sHST_Mem_Ensemble,2.4545454545454546,2.8493030726828623
sHST_River,8.0,2.8493030726828623
sklearn_IF,5.545454545454546,2.8493030726828623
sklearn_LOF,1.0,2.8493030726828623
