timestamp,trip_count,y_true,anomaly_type,mean_ctx,std_ctx,median_ctx,mad_ctx,range_ctx,q25,q75,z_score,mad_score,knn3,knn4,knn5
2024-07-01 00:00:00,3.0,0,,703.5576923076923,434.8700253860801,602.0,157.5,2873.0,480.75,810.25,-1.6109587954921094,-2.565206126407482,350.0,371.0,373.0
2024-07-01 00:30:00,828.0,0,,703.5576923076923,434.8700253860801,602.0,157.5,2873.0,480.75,810.25,0.2861597728630883,0.9678407087948097,22.0,22.0,27.0
2024-07-01 01:00:00,699.0,0,,391.03846153846155,469.2840275576296,262.5,57.5,2528.0,224.75,349.0,0.656236991609857,5.1202646343825755,147.0,167.0,199.0
2024-07-01 01:30:00,582.0,0,,391.03846153846155,469.2840275576296,262.5,57.5,2528.0,224.75,349.0,0.40692102701922567,3.747822567434669,50.0,82.0,85.0
2024-07-01 02:00:00,349.0,0,,253.69230769230768,454.57700280512427,141.0,39.0,2569.0,103.0,205.0,0.20966237120986475,3.597284049919704,23.0,42.0,48.0
2024-07-01 02:30:00,305.0,0,,253.69230769230768,454.57700280512427,141.0,39.0,2569.0,103.0,205.0,0.11286908926309912,2.8363201162828435,21.0,23.0,31.0
2024-07-01 03:00:00,210.0,0,,175.55769230769232,328.90923540262,103.5,18.0,2009.0,87.25,122.5,0.10471675460587006,3.9907369920744578,16.0,20.0,24.0
2024-07-01 03:30:00,178.0,0,,175.55769230769232,328.90923540262,103.5,18.0,2009.0,87.25,122.5,0.007425476178082318,2.791642309009832,10.0,12.0,19.0
2024-07-01 04:00:00,175.0,0,,148.90384615384616,167.8456547884423,115.0,19.5,1101.0,97.5,135.5,0.15547708921920825,2.0753561822870576,5.0,7.0,8.0
2024-07-01 04:30:00,162.0,0,,148.90384615384616,167.8456547884423,115.0,19.5,1101.0,97.5,135.5,0.07802497992504111,1.625695676124862,6.0,8.0,8.0
2024-07-01 05:00:00,197.0,0,,269.65384615384613,98.50554154958152,234.0,80.5,353.0,182.0,355.0,-0.7375610042192513,-0.3100143863173044,7.0,10.0,10.0
2024-07-01 05:30:00,395.0,0,,269.65384615384613,98.50554154958152,234.0,80.5,353.0,182.0,355.0,1.272478196268153,1.3489815188401624,15.0,17.0,20.0
2024-07-01 06:00:00,465.0,0,,667.4615384615385,219.8022241731855,572.5,204.5,703.0,497.5,899.75,-0.921107778658349,-0.354561157170379,20.0,23.0,30.0
2024-07-01 06:30:00,821.0,0,,667.4615384615385,219.8022241731855,572.5,204.5,703.0,497.5,899.75,0.6985300631466812,0.8196134656450156,22.0,41.0,46.0
2024-07-01 07:00:00,1046.0,0,,1340.0192307692307,418.1438145305722,1284.0,347.5,1660.0,1181.75,1690.5,-0.7031533662462015,-0.4619533834598959,117.0,118.0,129.0
2024-07-01 07:30:00,1303.0,0,,1340.0192307692307,418.1438145305722,1284.0,347.5,1660.0,1181.75,1690.5,-0.08853229315350489,0.03687863145268076,20.0,23.0,24.0
2024-07-01 08:00:00,1469.0,0,,1822.4615384615386,483.6168008446063,1987.0,152.0,1990.0,1769.5,2092.0,-0.7308710901625657,-2.298593509166924,212.0,231.0,252.0
2024-07-01 08:30:00,1737.0,0,,1822.4615384615386,483.6168008446063,1987.0,152.0,1990.0,1769.5,2092.0,-0.1767133364897957,-1.1093598017214885,37.0,40.0,56.0
2024-07-01 09:00:00,1766.0,0,,1967.0961538461538,422.84490972165526,2081.5,123.0,1929.0,1962.25,2198.25,-0.4755789870422537,-1.73009621628615,142.0,163.0,185.0
2024-07-01 09:30:00,1725.0,0,,1967.0961538461538,422.84490972165526,2081.5,123.0,1929.0,1962.25,2198.25,-0.5725412515898376,-1.9549264694326862,166.0,183.0,204.0
2024-07-01 10:00:00,1745.0,0,,2032.25,326.2972261722314,2103.0,149.5,1560.0,1956.75,2252.25,-0.8803323379757321,-1.6151685075700797,102.0,110.0,125.0
2024-07-01 10:30:00,1905.0,0,,2032.25,326.2972261722314,2103.0,149.5,1560.0,1956.75,2252.25,-0.38998186251492395,-0.8933054874270273,37.0,42.0,50.0
2024-07-01 11:00:00,1885.0,0,,2122.5384615384614,293.0729406149774,2195.5,142.0,1511.0,2014.25,2279.0,-0.8105097012092319,-1.474854794419261,5.0,23.0,28.0
