timestamp,y_true,iforest_score,trip_count,anomaly_type
2024-07-01 00:00:00,0,-0.007422052678754287,3.0,
2024-07-01 00:30:00,0,-0.023183059054248112,828.0,
2024-07-01 01:00:00,0,-0.014019807147578556,699.0,
2024-07-01 01:30:00,0,-0.04112794227169847,582.0,
2024-07-01 02:00:00,0,-0.038042426128595874,349.0,
2024-07-01 02:30:00,0,-0.055041231447649774,305.0,
2024-07-01 03:00:00,0,-0.05875692240846697,210.0,
2024-07-01 03:30:00,0,-0.05797103645243046,178.0,
2024-07-01 04:00:00,0,-0.06371361448151458,175.0,
2024-07-01 04:30:00,0,-0.06431006492194768,162.0,
2024-07-01 05:00:00,0,-0.052722331805351574,197.0,
2024-07-01 05:30:00,0,-0.05106872252574579,395.0,
2024-07-01 06:00:00,0,-0.020478571200227447,465.0,
2024-07-01 06:30:00,0,-0.045168872258491644,821.0,
2024-07-01 07:00:00,0,-0.040259323526505075,1046.0,
2024-07-01 07:30:00,0,-0.035369531284698996,1303.0,
2024-07-01 08:00:00,0,-0.03481703196105246,1469.0,
2024-07-01 08:30:00,0,-0.04469141484078565,1737.0,
2024-07-01 09:00:00,0,-0.05989606179443219,1766.0,
2024-07-01 09:30:00,0,-0.07388481344746145,1725.0,
2024-07-01 10:00:00,0,-0.0764554868931624,1745.0,
2024-07-01 10:30:00,0,-0.09562456527866403,1905.0,
2024-07-01 11:00:00,0,-0.08527045772968816,1885.0,
2024-07-01 11:30:00,0,-0.07482044290108397,1982.0,
2024-07-01 12:00:00,0,-0.07392925741981388,2118.0,
2024-07-01 12:30:00,0,-0.08036800303083602,2145.0,
2024-07-01 13:00:00,0,-0.0849807805904002,2091.0,
2024-07-01 13:30:00,0,-0.07837310663604169,2220.0,
2024-07-01 14:00:00,0,-0.07712838725923943,2302.0,
2024-07-01 14:30:00,0,-0.07771528400464278,2402.0,
2024-07-01 15:00:00,0,-0.07523878861130645,2235.0,
2024-07-01 15:30:00,0,-0.090446744565929,2501.0,
2024-07-01 16:00:00,0,-0.08795060693967366,2367.0,
2024-07-01 16:30:00,0,-0.09493445290328284,2303.0,
2024-07-01 17:00:00,0,-0.07490256518769473,2508.0,
2024-07-01 17:30:00,0,-0.06749919313720709,2527.0,
2024-07-01 18:00:00,0,-0.042333279874077645,2616.0,
2024-07-01 18:30:00,0,-0.06583197191563833,2520.0,
2024-07-01 19:00:00,0,-0.07894249809955822,2222.0,
2024-07-01 19:30:00,0,-0.08720983868885107,1952.0,
2024-07-01 20:00:00,0,-0.09541121825645538,1844.0,
2024-07-01 20:30:00,0,-0.08943231219799685,1828.0,
2024-07-01 21:00:00,0,-0.09037657768613094,1820.0,
2024-07-01 21:30:00,0,-0.09516627410748457,1762.0,
2024-07-01 22:00:00,0,-0.10413380668027944,1706.0,
2024-07-01 22:30:00,0,-0.07616024294452844,1242.0,
2024-07-01 23:00:00,0,-0.06979977896064493,1086.0,
2024-07-01 23:30:00,0,-0.07132050768186904,928.0,
2024-07-02 00:00:00,0,-0.060774808096465016,673.0,
2024-07-02 00:30:00,0,-0.0577361715894909,463.0,
2024-07-02 01:00:00,0,-0.07079615684852214,331.0,
2024-07-02 01:30:00,0,-0.07323419904454759,206.0,
2024-07-02 02:00:00,0,-0.07524764332662454,173.0,
