Model,Approach,Method,AUC,AP,Point_Precision,Point_Recall,Point_F1,Window_F1,Window_Precision,Window_Recall,TP,FP,TN,FN,Threshold
IsolationForest,A,Window-Based,0.4859330281273008,0.04640252486151896,0.04985337243401759,0.6325581395348837,0.09242269792728508,0.4596566523605151,0.3298429319371728,0.7579617834394905,136,2592,1609,79,-0.0688948608511046
KNN-SiTDD (k=3),B,Context-Matched,0.9442712975315956,0.7550392374544462,0.38333333333333336,0.8558139534883721,0.5294964028776978,0.6907335306027098,0.5539568345323741,0.9171974522292994,184,296,3905,31,197.716116710099
KNN-SiTDD (k=4),B,Context-Matched,0.9395448481258615,0.74720479416789,0.36693548387096775,0.8465116279069768,0.5119549929676512,0.6817960822446323,0.5448028673835126,0.910828025477707,182,314,3887,33,232.1833340776286
KNN-SiTDD (k=5),B,Context-Matched,0.9361425574198834,0.7422543784979676,0.33455882352941174,0.8465116279069768,0.4795783926218709,0.667704280155642,0.527027027027027,0.910828025477707,182,362,3839,33,247.45174570858887
Z-Score,B,Context-Matched,0.9472185470790455,0.7897914964490294,0.37093690248565964,0.9023255813953488,0.5257452574525745,0.7340571277050219,0.5935251798561151,0.9617834394904459,194,329,3872,21,2.310844260799632
MAD,B,Context-Matched,0.9454686868575035,0.763357245855295,0.26657458563535913,0.8976744186046511,0.4110756123535676,0.622561222362564,0.45879120879120877,0.9681528662420382,193,531,3670,22,2.1292174195711966
